x,y,theta,dir
14,4.15,3.14159265358979,1
13.9000013774048,4.14954545767593,-3.13250174449888,1
13.8000110191016,4.14818186826892,-3.12341083540798,1
13.7000371886996,4.14590934447155,-3.11431992631707,1
13.6000881484418,4.14272807409441,-3.10522901722616,1
13.5001721585226,4.13863832005058,-3.09613810813525,1
13.400297476405,4.13364042033395,-3.08704719904434,1
13.3004723561381,4.12773478799124,-3.07795628995343,1
13.2007050476751,4.12092191108787,-3.06886538086252,1
13.1010037961911,4.11320235266764,-3.05977447177161,1
13.0013768414024,4.10457675070619,-3.0506835626807,1
12.9017897800324,4.09549835835531,-3.0506835626807,1
12.8022027186623,4.08641996600442,-3.0506835626807,1
12.7026156572923,4.07734157365353,-3.0506835626807,1
12.6030285959222,4.06826318130264,-3.0506835626807,1
12.5034415345521,4.05918478895176,-3.0506835626807,1
12.4038544731821,4.05010639660087,-3.0506835626807,1
12.304267411812,4.04102800424998,-3.0506835626807,1
12.204680350442,4.0319496118991,-3.0506835626807,1
12.1050932890719,4.02287121954821,-3.0506835626807,1
12.0055062277019,4.01379282719732,-3.0506835626807,1
11.9059510414846,4.00437527518314,-3.05283418393604,1
11.8059675834352,3.9963957115547,-3.07107104983108,1
11.7058552371726,3.99024075867083,-3.08930791572612,1
11.6056472974661,3.9859124635092,-3.10754478162116,1
11.5053770908772,3.9834122655485,-3.1257816475162,1
11.4050779646756,3.98274099628971,3.13916679376835,1
11.304783275749,3.98389887897959,3.12092992787331,1
11.2045263795091,3.98688552853638,3.10269306197827,1
11.1043406187992,3.99169995167791,3.08445619608323,1
11.0042593128043,3.99834054725194,3.06621933018819,1
10.9043157459708,4.00680510676863,3.04798246429315,1
10.8045431569364,4.01709081513505,3.02974559839811,1
10.7049747274762,4.02919425159142,3.01150873250307,1
10.6056435714671,4.04311139084872,2.99327186660803,1
10.5065827238748,4.05883760442746,2.97503500071299,1
10.4078251297678,4.07636766219692,2.95679813481795,1
10.3094036333599,4.09569573411463,2.93856126892291,1
10.2113509670879,4.11681539216523,2.92032440302787,1
10.1136997407251,4.13971961249829,2.90208753713283,1
10.0164824305364,4.16440077776427,2.88385067123779,1
9.91973136847726,4.19085067964781,2.86561380534275,1
9.82347873144126,4.21906052159767,2.84737693944771,1
9.7277565305587,4.24902092175217,2.82914007355267,1
9.63259660055057,4.28072191605939,2.81090320765763,1
9.53803058914114,4.31415296159093,2.79266634176258,1
9.4440899465328,4.34930294004826,2.77442947586754,1
9.35080591494645,4.38616016146032,2.7561926099725,1
9.25820951823125,4.42471236807134,2.73795574407746,1
9.16633155154678,4.46494673841744,2.71971887818242,1
9.07520257112147,4.50684989159073,2.70148201228738,1
8.98485288409034,4.55040789168941,2.68324514639234,1
8.89531253841564,4.59560625245254,2.6650082804973,1
8.80661131289367,4.64242994207777,2.64677141460226,1
8.71877870725115,4.69086338822053,2.62853454870722,1
8.63184393233433,4.74089048317299,2.61029768281218,1
8.5458359003943,4.79249458922107,2.59206081691714,1
8.46078321547143,4.84565854417769,2.5738239510221,1
8.37671416388247,4.90036466709051,2.55558708512706,1
8.29365670481324,4.95659476412211,2.53735021923202,1
8.21163846102014,5.01433013460083,2.51911335333698,1
8.1306867096435,5.07355157724008,2.50087648744194,1
8.05082837313596,5.13423939652424,2.4826396215469,1
7.97209001030871,5.19637340925885,2.46440275565186,1
7.89449780749879,5.25993295128303,2.44616588975682,1
7.81807756986011,5.32489688434181,2.42792902386178,1
7.74285471278137,5.39124360311623,2.40969215796674,1
7.66885425343358,5.45895104240864,2.3914552920717,1
7.59610080244996,5.52799668448106,2.37321842617666,1
7.52461855574107,5.59835756654396,2.35498156028162,1
7.45443128644794,5.67001028839312,2.33674469438658,1
7.3855623370357,5.74293102019192,2.31850782849154,1
7.31803461153045,5.81709551039652,2.3002709625965,1
7.25187056790205,5.89247909382128,2.28203409670146,1
7.18709221059512,5.96905669984181,2.26379723080642,1
7.12372108321096,6.04680286073275,2.24556036491138,1
7.06177826134269,6.12569172013771,2.22732349901634,1
7.0012843455661,6.20569704166842,2.2090866331213,1
6.94225945458834,6.28679221763028,2.19084976722626,1
6.88472321855708,6.36895027787134,2.17261290133122,1
6.82869477253193,6.45214389875194,2.15437603543618,1
6.77419275012067,6.53634541223182,2.13613916954114,1
6.72123527728217,6.62152681507176,2.1179023036461,1
6.70921009030377,6.6413624065545,2.11368484050642,1
